name,trial,channel,pce,jsc,voc,ff
17,d,b,11.371,21.397,0.82,0.627
17,d,c,12.093,20.935,0.82,0.681
17,d,d,10.481,21.7,0.83,0.563
17,d,e,11.165,21.459,0.82,0.614
17,d,f,11.882,21.222,0.82,0.66
18,a,a,10.567,24.179,0.81,0.522
18,a,b,11.816,24.541,0.81,0.575
18,a,c,12.84,24.88,0.81,0.616
18,a,d,10.233,21.613,0.8,0.572
18,a,e,10.586,20.887,0.8,0.613
18,a,f,11.182,21.022,0.8,0.643
18,b,a,1.329,2.234,0.8,0.719
18,b,b,11.617,23.997,0.8,0.585
18,b,c,11.955,23.339,0.78,0.635
18,b,d,9.57,21.464,0.8,0.539
18,b,e,9.986,22.025,0.77,0.57
18,b,f,11.152,22.462,0.78,0.616
18,c,a,10.031,22.11,0.79,0.555
18,c,b,10.557,21.926,0.78,0.597
18,c,c,11.709,21.756,0.79,0.659
18,c,d,3.419,22.839,0.38,0.381
18,c,e,11.177,25.239,0.79,0.542
18,c,f,12.208,25.412,0.79,0.588
18,d,a,11.272,25.916,0.81,0.519
18,d,b,11.756,24.146,0.81,0.581
18,d,c,11.731,23.32,0.8,0.608
18,d,d,2.373,3.762,0.8,0.763
18,d,e,0.554,1.004,0.8,0.667
18,d,f,1.795,3.088,0.81,0.694
19,a,a,9.447,22.908,0.8,0.499
19,a,b,8.111,21.141,0.76,0.488
19,a,c,10.135,20.831,0.79,0.596
19,a,d,6.591,19.563,0.77,0.423
19,a,e,9.772,20.648,0.79,0.579
19,a,f,9.197,19.189,0.79,0.587
19,b,a,10.344,22.974,0.79,0.551
19,b,b,11.142,23.241,0.79,0.587
19,b,c,11.38,23.163,0.79,0.602
19,b,d,9.094,21.049,0.79,0.529
19,b,e,9.495,20.329,0.79,0.572
19,b,f,0.608,1.085,0.78,0.694
19,c,a,9.661,22.285,0.81,0.518
19,c,b,9.455,21.291,0.8,0.537
19,c,c,10.126,20.622,0.79,0.601
19,c,d,9.668,21.641,0.8,0.54
19,c,e,1.243,2.261,0.79,0.673
19,c,f,1.396,2.396,0.79,0.713
19,d,a,9.529,23.486,0.78,0.503
19,d,b,9.742,21.768,0.77,0.562
19,d,c,8.165,19.376,0.75,0.543
19,d,d,9.066,20.828,0.79,0.533
19,d,e,8.971,20.331,0.77,0.554
19,d,f,3.372,5.742,0.76,0.747
20,a,a,8.448,24.995,0.78,0.419
20,a,b,2.04,4.076,0.78,0.621
20,a,c,9.86,24.836,0.78,0.492
20,a,d,2.755,4.712,0.78,0.725
20,a,e,1.261,2.399,0.78,0.652
20,a,f,3.222,5.509,0.78,0.725
20,b,a,7.905,23.698,0.74,0.436
20,b,b,8.521,23.238,0.76,0.467
20,b,c,0.522,15.963,0.14,0.226
20,b,d,0.894,16.136,0.21,0.255
20,b,e,7.278,20.697,0.74,0.46
20,b,f,0.657,1.176,0.74,0.731
20,c,a,7.999,22.212,0.77,0.452
20,c,b,8.1,21.099,0.77,0.482
20,c,c,7.191,19.623,0.77,0.46
20,c,d,7.334,20.762,0.78,0.438
20,c,e,1.025,1.846,0.77,0.697
20,c,f,1.206,2.069,0.77,0.732
21,a,a,10.61,22.095,0.82,0.566
21,a,b,12.066,23.834,0.81,0.605
21,a,c,12.574,23.24,0.81,0.646
21,a,d,3.812,6.397,0.81,0.712
21,a,e,1.12,2.075,0.81,0.644
21,a,f,9.645,18.116,0.8,0.644
21,b,a,9.839,19.266,0.81,0.61
21,b,b,10.572,19.525,0.8,0.655
21,b,c,10.084,18.746,0.8,0.65
21,b,d,8.614,18.396,0.8,0.566
21,b,e,10.068,19.285,0.8,0.631
21,b,f,10.485,19.449,0.8,0.652
21,c,a,9.297,19.109,0.81,0.581
21,c,b,10.232,18.867,0.81,0.648
21,c,c,10.85,18.666,0.81,0.694
21,c,d,10.004,20.736,0.81,0.576
21,c,e,10.655,20.655,0.8,0.624
21,c,f,11.241,20.014,0.8,0.679
21,d,a,8.785,18.468,0.8,0.575
21,d,b,9.478,19.148,0.8,0.598
21,d,c,10.869,19.518,0.81,0.665
21,d,d,2.173,3.563,0.79,0.747
21,d,e,2.231,3.536,0.81,0.753
21,d,f,2.613,4.417,0.8,0.715
22,a,a,10.77,23.878,0.79,0.552
22,a,b,12.044,24.065,0.79,0.613
22,a,c,12.522,22.727,0.79,0.675
22,a,d,8.369,17.886,0.78,0.58
22,a,e,9.605,18.844,0.79,0.624
22,a,f,10.148,18.793,0.79,0.661
22,b,a,9.744,20.385,0.79,0.585
22,b,b,10.459,20.45,0.79,0.626
22,b,c,11.01,19.778,0.79,0.682
22,b,d,8.671,19.074,0.79,0.557
22,b,e,9.98,20.309,0.78,0.609
22,b,f,10.482,19.977,0.79,0.642
22,c,a,9.691,20.359,0.8,0.576
22,c,b,9.246,20.621,0.79,0.549
22,c,c,11.248,20.931,0.79,0.658
22,c,d,0.51,1.578,0.46,0.679
22,c,e,0.78,1.594,0.6,0.788
22,c,f,0.712,1.335,0.79,0.653
22,d,a,8.418,18.261,0.79,0.564
22,d,b,9.991,19.862,0.79,0.616
22,d,c,10.854,20.212,0.79,0.657
22,d,d,9.045,19.34,0.79,0.573
22,d,e,9.998,19.648,0.79,0.623
22,d,f,10.339,19.618,0.79,0.645
23,a,a,7.094,20.615,0.78,0.427
23,a,b,8.593,21.963,0.78,0.485
23,a,c,9.257,21.475,0.79,0.528
23,a,d,8.531,22.83,0.78,0.463
23,a,e,1.855,3.338,0.79,0.68
23,a,f,9.848,22.904,0.78,0.533
23,b,a,7.86,20.712,0.8,0.459
23,b,b,8.355,21.151,0.79,0.484
23,b,c,8.878,21.179,0.79,0.513
23,b,d,8.451,22.318,0.79,0.464
23,b,e,7.93,19.055,0.79,0.509
23,b,f,9.601,22.332,0.79,0.526
23,c,a,8.071,21.336,0.79,0.463
23,c,b,8.8,21.914,0.79,0.492
23,c,c,9.542,21.832,0.79,0.535
23,c,d,3.966,21.636,0.48,0.369
23,c,e,8.767,22.25,0.78,0.489
23,c,f,9.316,22.375,0.78,0.516
23,d,a,8.347,20.966,0.78,0.494
23,d,b,9.225,22.391,0.78,0.511
23,d,c,10.167,23.03,0.79,0.54
23,d,d,7.471,20.323,0.79,0.45
23,d,e,7.905,20.711,0.78,0.473
23,d,f,3.01,19.623,0.48,0.309
24,a,a,9.365,21.113,0.81,0.53
24,a,b,9.667,20.33,0.81,0.568
24,a,c,10.167,20.181,0.81,0.602
24,a,d,7.97,18.642,0.81,0.511
24,a,e,8.876,20.481,0.8,0.524
24,a,f,9.726,20.767,0.8,0.566
24,b,a,8.718,19.669,0.82,0.523
24,b,b,8.862,19.017,0.81,0.556
24,b,c,9.812,19.893,0.81,0.589
24,b,d,2.738,4.347,0.81,0.752
24,b,e,1.106,1.805,0.8,0.741
24,b,f,0.673,1.145,0.81,0.702
24,c,a,9.592,23.457,0.81,0.488
24,c,b,10.423,23.408,0.8,0.538
24,c,c,11.183,23.155,0.8,0.584
24,c,d,8.168,19.059,0.8,0.518
24,c,e,8.551,18.812,0.8,0.55
24,c,f,9.227,18.86,0.81,0.584
24,d,a,8.901,21.248,0.8,0.506
24,d,b,9.195,20.875,0.8,0.533
24,d,c,10.164,20.327,0.8,0.605
24,d,d,8.508,20.502,0.8,0.502
24,d,e,9.17,20.486,0.79,0.548
24,d,f,9.98,20.978,0.79,0.582
25,a,a,9.298,21.857,0.81,0.508
25,a,b,9.449,21.91,0.8,0.521
25,a,c,10.952,22.204,0.81,0.589
